modulo,permissao,descricao,Colaborador Interno/Fisio,Colaborador SAC,Colaborador Treinamento,Colaboradores Internos,Consultor de Vendas Online,Consultora Online Rio de Janeiro,Consultora de Vendas,Expansão,Franqueado,Franqueado/Fisio,Gerente,Gerente de Campo,Gerente de Campo (descontos),Gerente de Campo - Franquias,Gerente/Fisio,Marketing,Profissional,Proprietário,SAC,Subgerente,Terminal,cancelar
Relatórios,report.bonifications,Comissões por meta,,,,,,,,,,,,X,,X,,,,X,X,,,X
Relatórios,report.customer_contracts,Contratos,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X
Relatórios,report.payment_recurring,Crédito Recorrente,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,,X,X,X,,X
Relatórios,report.wallet_money_movements,Créditos em Dinheiro / Movimentação dos créditos em dinheiro,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,,X,X,X,,X
Relatórios,report.wallet_money_status,Créditos em Dinheiro / Situação dos créditos em dinheiro,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,,X,X,,,X
Relatórios,report.discounts,Descontos,X,X,X,X,,X,,X,X,X,X,X,X,X,X,X,,X,X,X,,X
Relatórios,report.user_stats,Estatísticas / Colaborador,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,,X,X,X,,X
Relatórios,report.stats,Estatísticas / Unidade,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,,X,X,X,,X
Relatórios,report.product_movement,Estoque / Movimentação de produtos,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,,X,X,,,X
Relatórios,report.stock_situation,Estoque / Situação do estoque,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X
Relatórios,report.billing,Faturamento / Faturamento,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,,X,X,X,,X
Relatórios,report.billing_payment_method,Faturamento / Faturamento por forma de pagamento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X
Relatórios,report.billing_comparison_salon,Faturamento / Faturamento por unidade,X,X,X,X,,,,X,X,X,X,X,X,X,,X,,X,X,,,X
Relatórios,report.rewards_movements,Fidelidade / Movimentação de pontos,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X
Relatórios,report.rewards_status,Fidelidade / Situação do fidelidade,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X
Relatórios,report.loyalty,Fidelização de clientes,,,,,,,,,,,,,,,,,,X,,,,
Relatórios,report.account_payables,Financeiro/Contábil / Contas a Pagar,X,X,X,X,,,,X,X,X,,,,,,X,,X,X,,,X
Relatórios,report.account_receivables,Financeiro/Contábil / Contas a Receber,X,X,X,X,,,,X,X,X,,,,,,X,,X,X,,,X
Relatórios,report.goals,Metas,X,X,X,X,,,,X,X,X,,X,X,X,X,X,,X,X,,,X
Relatórios,report.invoices,Notas Fiscais,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X
Relatórios,report.orders,Ordens de Serviço,X,X,X,X,,X,,X,X,X,X,X,X,X,X,X,,X,X,X,,X
Relatórios,report.executed_packages_report,Pacotes / Execução de pacotes,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,,X,X,,,X
Relatórios,report.packages_movements,Pacotes / Movimentação de pacotes,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,,X,X,,,X
Relatórios,report.packages_balance,Pacotes / Saldo de pacotes,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X
Relatórios,report.packages_status,Pacotes / Situação dos pacotes,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X
Relatórios,report.user_payments,Pagamentos,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X
Relatórios,report.roles,Perfis de Acesso,X,,,X,,,,X,X,,,,,,,X,,X,,,,
Relatórios,report.sales_ranking,Ranking de Vendas,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,,X,X,X,,X
Relatórios,report.exports,Relatório de Exportações,X,X,,X,,,,X,X,X,X,X,X,,X,X,,X,X,,,X
Relatórios,report.advance_payments,Vales/Adiantamentos,X,,,X,,,,X,X,,,,,,X,X,,X,,,,X
Serviços,service.manager,Incluir/Alterar/Inativar,,,,,,,,,,,,,,,,X,,X,,,,
Serviços,service.default_price_manager,Modificar preço padrão,,,,,,,,,,,,,,,,X,,X,X,,,
Serviços,service.viewer,Visualizar,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,
Usuários,user.manager,Incluir/Alterar/Inativar,,,X,,,,,,,,,,,,,,,X,,,,
Usuários,user.viewer,Visualizar,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,
Usuários,user.other_users,Visualizar todos os usuários,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,
Vale/Adiantamento,advance_payment.manager,Gerenciar,,,,,,,,,,,,,,,,,,X,,,,
